Atoll,Image date/time (UTC),Maxar Image ID,Target lat,Off-nadir angle,Sun elevation,Sun azimuth,Target azimuth,Camera elevation,Camera azimuth,Sun RA,Sun d,Camera RA,Camera d,phase angle,Best classification phase angle
Eauripik,2/7/2020 1:04,10300100A149CD00,6.6899,5.3096,57.1981,132.6476,82.6315,84.6904,262.6315,335.5795966,-15.46205091,5.294535974,5.981575399,36.41587804,all
Ebon,9/29/2016 23:27,103001005CC01D00,4.6349,19.3809,71.3995,113.275,80.1858,70.6191,260.1858,342.9406208,-2.810968455,19.09010841,1.137254493,36.35333122,10
Ebon,9/29/2016 23:27,103001005C738100,4.6349,23.3114,71.5764,113.6458,66.1239,66.6886,246.1239,343.1501969,-2.847555636,21.2963006,-4.901416619,38.10886638,10
Elato,3/13/2018 1:09,103001007A143E00,7.4406,26.8179,68.5324,118.4261,133.7351,63.1821,313.7351,341.1985278,-2.994035413,21.10586139,25.14050841,47.83421193,all
Enewetak,11/2/2012 0:21,103001001C5D2E00,11.4948,21.1027,62.4592,161.9534,103.3984,68.8973,283.3984,351.48301,-14.72135281,21.31563184,15.52567875,42.23698338,none
Enewetak,7/17/2015 23:48,10300100459FF800,11.4948,23.6241,66.7742,62.5679,194.036,66.3759,14.036,337.9541482,21.17167345,353.2433476,34.30170009,18.80997897,all
Enewetak,8/15/2010 0:01,103001000633CA00,11.4948,18.2537,71.8947,79.248,160.1454,71.7463,340.1454,341.6387791,14.25423566,6.956198382,28.55149069,27.46930262,all
Erikub,1/11/2018 23:35,10300100775E3800,9.142,29.7487,54.3972,150.1486,55.6919,60.2513,235.6919,341.8311611,-21.67398227,24.44615033,-7.942682201,43.25056625,10
Erikub,2/20/2020 23:06,10300100A4078100,9.142,25.0846,56.9183,126.3182,222.9683,64.9154,42.9683,333.4091811,-10.72226394,341.1184995,26.75508586,38.21787499,all
Ettal,3/1/2020 0:17,10300100A3AAB100,5.5903,19.977,61.8328,117.2864,6.6319,70.023,186.6319,334.9706689,-7.440524522,2.333120176,-14.25216133,27.69737884,all
Faaite,2/12/2020 19:48,10300100A2A78E00,-16.7506,24.2757,59.3531,89.2365,255.0368,65.7243,75.0368,328.315579,-13.97195044,336.269061,-9.26924368,9.097489829,all
Faaite,5/7/2017 19:50,1030010068C7CD00,-16.7506,26.8491,47.6031,39.1731,255.8251,63.1509,75.8251,333.5952071,16.72020528,333.7054429,-8.698268444,25.41870762,10
Fakahina,11/29/2018 19:45,1030010087194B00,-15.9851,16.4688,69.364,109.309,346.4746,73.5312,166.4746,339.0241764,-21.70003659,355.5187384,-31.94213687,17.89558823,all
Fakaofo,5/25/2020 21:33,10300100A8258300,-9.3736,24.4146,49.5349,40.8547,299.8931,65.5854,119.8931,332.9276951,21.12512786,337.4940786,-20.58254716,41.94582701,all
Fakarava,3/29/2020 19:55,10300100A42EF800,-16.2928,26.0067,55.6685,56.3159,344.3541,63.9933,164.3541,331.9397875,3.931156434,350.9711363,-41.1027634,48.27184762,all
Fakarava,3/29/2020 19:55,10300100A468DC00,-16.2928,20.5349,55.7832,56.34,336.3184,69.4651,156.3184,332.0236839,3.85156939,350.1174987,-34.82406851,42.25211547,all
Fakarava,8/9/2018 20:02,1030010084646B00,-16.2928,20.4038,48.8684,40.1451,327.2342,69.5962,147.2342,333.8563557,15.74306075,347.001494,-32.97916354,50.31592304,all
Fakarava,2/1/2020 19:54,10300100A052AC00,-16.2928,14.8729,61.0616,95.8093,276.8248,75.1271,96.8248,329.7745225,-17.00927595,344.5022806,-17.48306689,14.07009809,all
