atoll,copra_history,cocos_kmsq,broadleaf_kmsq,shrub_kmsq,non_veg_kmsq,cloud_cover_kmsq,total_non-cloud_cover_kmsq,cocos_perc,broadleaf_perc,shrub_perc,non_veg_perc,cloud_perc,cocos_fraction_vegetation_perc,cocos_fraction_tree_perc,monocrop_kmsq,monocrop_coconut_kmsq,coconut_fraction_monocrop_perc
Sapwuahfik,,0.717964,0.67904,0.265536,0.209232,0.0,1.871772,38.35744952,36.27792274,14.18634321,11.17828453,0.0,43.18476548,51.39312414,0.41242,0.297624,41.4538891
Satawan,,1.644248,1.638432,0.76658,1.11832,0.038524,5.16758,31.81853014,31.7059823,14.83440992,21.64107764,0.739977534,40.60613544,50.08858616,0.796768,0.566556,34.4568459
Scilly,,1.84662,0.239328,1.176596,1.07252,0.0,4.335064,42.59729499,5.520748944,27.14137554,24.74058053,0.0,56.60061596,88.52665551,1.689492,1.403908,76.0258201
Sikaiana,,0.778704,0.40776,0.110284,0.146432,0.316564,1.44318,53.9575105,28.25427182,7.641735612,10.14648207,17.98920752,60.05052639,65.63233271,0.623644,0.438296,56.2853151
Sorol,,0.298936,0.331448,0.069868,0.19182,0.0,0.892072,33.51029962,37.15484849,7.832103238,21.50274866,0.0,42.68977454,47.42125435,0.192172,0.134072,44.8497337
Surprise,,0.0,0.001308,0.288224,0.12396,0.0,0.413492,0.0,0.316330183,69.70485523,29.97881458,0.0,0.0,0.0,0.0,0.0,0.0
Suwarrow,,0.142904,0.305068,0.26612,0.69076,0.087016,1.404852,10.17217472,21.71531236,18.94292068,49.16959224,5.83268761,20.01198725,31.90020805,0.074648,0.059544,41.6671332
Swains,,,,,,,,,,,,,,,,,
Tabiteuea,,15.554636,5.575772,10.169516,9.83944,0.09636,41.139364,37.80961709,13.55337433,24.71967238,23.9173362,0.233680873,49.69544335,73.6125682,10.27442,7.581912,48.7437443
Tabuaeran,,10.189088,7.892856,4.529068,10.707328,0.0,33.31834,30.58101934,23.68922341,13.59331827,32.13643897,0.0,45.06250317,56.3495164,6.999456,5.66032,55.5527639
Taenga,,0.612968,0.420592,1.85458,7.780724,0.0,10.668864,5.745391449,3.942237899,17.38310658,72.92926407,0.0,21.22362489,59.30647471,0.355036,0.260144,42.4400621
Tahanea,,1.3207,1.345716,3.870068,4.461884,0.179224,10.998368,12.00814521,12.23559714,35.18765693,40.56860072,1.603422276,20.20505214,49.53090591,0.78066,0.56516,42.7924585
Taiaro,,0.307456,0.546756,1.880512,1.417868,0.038004,4.152592,7.403953964,13.16661979,45.28525798,34.14416827,0.906887708,11.24267019,35.99293852,0.08366,0.053548,17.4164759
Taka,,0.026756,0.145696,0.338764,0.148152,0.0,0.659368,4.057825069,22.09631041,51.37707623,22.46878829,0.0,5.233795499,15.51504187,0.001568,0.001268,4.7391239
Takapoto,,4.109612,2.054176,4.666012,3.544292,0.0,14.374092,28.59041114,14.29082268,32.46126434,24.65750184,0.0,37.94725664,66.67348066,2.684304,1.866476,45.4173289
Takaroa,,3.355348,3.733896,6.163932,4.606256,0.151984,17.859432,18.78754039,20.90713747,34.51359483,25.79172731,0.843820386,25.31731262,47.33012434,1.498116,1.03712,30.9094616
Takume,,1.177744,1.206668,2.138976,4.385436,0.17894,8.908824,13.21997157,13.54463844,24.00963359,49.2257564,1.969021203,26.03676713,49.3934773,0.832904,0.574104,48.7460772
Takuu,,0.544796,0.25212,0.074564,0.063556,0.064968,0.935036,58.26470852,26.96366771,7.974452321,6.797171446,6.496774013,62.51388443,68.36303952,0.433824,0.327416,60.098826
Tarawa,,8.319696,4.55062,9.365668,10.344832,0.173368,32.580816,25.5355667,13.96717627,28.74595897,31.75129806,0.529300318,37.41546135,64.64251538,4.140504,2.8711,34.5096744
Tatakoto,,2.658908,2.09244,2.43406,2.774344,0.010152,9.959752,26.69652819,21.00895685,24.43896193,27.85555303,0.101826457,37.0042731,55.96112935,1.561576,1.118816,42.078026
Tauere,,1.252196,0.141308,0.460156,1.226804,0.0,3.080464,40.64959045,4.587231015,14.93787949,39.82529905,0.0,67.55262562,89.8595196,1.158196,0.912644,72.8834783
Tekokota,,,,,,,,,,,,,,,,,
Temitangi,,1.57818,0.083808,1.945436,4.186336,0.468324,7.79376,20.24927634,1.075321796,24.96145634,53.71394552,5.668351956,43.748115,94.95736431,1.14636,0.822716,52.1306822
Temoe,,,,,,,,,,,,,,,,,
Tenararo,,1.119012,0.344832,0.404532,0.626964,0.0,2.49534,44.84406935,13.81903869,16.21149823,25.12539373,0.0,59.89222726,76.44339151,1.084192,0.793668,70.925781
Tenaruga,,1.5602,0.22272,1.054072,1.118828,0.0,3.95582,39.44062167,5.630185398,26.64610624,28.28308669,0.0,54.9948678,87.50813273,1.297644,0.880536,56.4373798
Tepoto,,0.10208,0.34912,0.43876,0.53112,0.0,1.42108,7.183269063,24.56723056,30.87510907,37.37439131,0.0,11.47017843,22.62411348,0.018708,0.01218,11.9318182
Teraina,,8.184732,0.79882,0.54666,0.604,0.47716,10.134212,80.76337854,7.882408617,5.394203318,5.96000952,4.496685254,85.881951,91.10797155,7.865468,7.46782,91.2408616
Tetiaroa,,3.0293,1.285812,0.525336,0.33884,0.04324,5.179288,58.48873436,24.82603786,10.1430158,6.54221198,0.827951521,62.58305016,70.20211758,2.692964,2.106532,69.5385733
Tikehau,,6.098292,3.715864,6.654164,6.247748,0.348516,22.716068,26.84571995,16.35786616,29.29276317,27.50365072,1.511043945,37.03044391,62.1377121,4.257792,3.014776,49.4363996
Toau,,1.0841,2.05598,5.646508,5.3814,0.0,14.167988,7.651756904,14.51144651,39.85398632,37.98281026,0.0,12.3381226,34.5245981,0.425388,0.294564,27.1712942
Tongareva,,4.023052,1.40904,1.797256,1.70348,0.050468,8.932828,45.03671178,15.7737281,20.11967543,19.0698847,0.561798253,55.64889116,74.06082224,3.304784,2.52458,62.7528553
Tuanake,,0.481132,0.977796,0.87658,1.683632,0.0,4.01914,11.97101868,24.32848818,21.81013849,41.89035465,0.0,20.60074296,32.9784609,0.2581,0.204136,42.4282733
Tupai,,,,,,,,,,,,,,,,,
Tureia,,,,,,,,,,,,,,,,,
Ujae,,1.295824,0.398656,0.742564,0.50016,0.0,2.937204,44.117603,13.57263574,25.28132196,17.02843929,0.0,53.1719575,76.47325433,1.12008,0.851232,65.6904024
Ujelang,,0.714092,0.721844,0.197008,0.249524,0.0,1.882468,37.9338188,38.34561862,10.4654103,13.25515228,0.0,43.73034225,49.73007154,0.558808,0.425252,59.5514303
Ulithi,,1.634412,1.242808,0.662676,0.54384,0.106376,4.083736,40.02246962,30.43311321,16.2271998,13.31721737,2.538738821,46.17118695,56.80524951,0.939256,0.74602,45.6445498
Utirik,,0.379632,0.209472,1.674224,0.70304,0.0,2.966368,12.79787268,7.06156485,56.44019892,23.70036354,0.0,16.77317649,64.44227165,0.023784,0.01474,3.8827075
Vahanga,,0.808744,0.326284,0.809536,1.79874,0.0,3.743304,21.60508471,8.716470797,21.62624249,48.05220201,0.0,41.58999138,71.25322018,0.542012,0.36656,45.3246021
Vahitahi,,1.717096,0.105368,0.718436,1.407188,0.143968,3.948088,43.49183706,2.668836156,18.19706146,35.64226532,3.518231422,67.57825967,94.21837688,1.693016,1.251768,72.9002921
Vairaatea,,1.153972,0.859236,0.735464,0.999976,0.0,3.748648,30.78368521,22.92122387,19.6194468,26.67564413,0.0,41.9828921,57.32005833,0.6064,0.368484,31.9317973
Vaitupu,,3.43334,1.349584,0.387564,0.575412,0.0,5.7459,59.75286726,23.48777389,6.745052994,10.01430585,0.0,66.40262969,71.78328571,3.153936,2.507296,73.027897
Vanavana,,0.919624,0.32316,0.507124,0.696892,0.05574,2.4468,37.58476377,13.20745463,20.72600948,28.48177211,2.227337026,52.55270563,73.9970904,0.67038,0.437724,47.5981488
Wailagilala,,0.03006,0.275932,0.057716,0.136372,0.0,0.50008,6.011038234,55.17757159,11.54135338,27.27003679,0.0,8.26487182,9.823786243,9.6e-05,8.8e-05,0.2927478
Wake,,0.00198,0.89914,1.514088,4.620984,0.078976,7.036192,0.028140221,12.77878716,21.51857141,65.67450121,1.109966764,0.081980517,0.219726563,0.0,0.0,0.0
West_Fayu,,0.030332,0.012624,0.019532,0.00614,0.0,0.068628,44.19770356,18.39482427,28.4606866,8.946785569,0.0,48.54051978,70.61178881,0.02152,0.015616,51.4835817
Woleai,,1.889016,1.955708,0.227492,0.13414,0.0,4.206356,44.90860973,46.4941151,5.408291642,3.188983529,0.0,46.38791263,49.13268157,1.159508,0.890232,47.1267581
Wotho,,0.8111,1.924412,1.684804,0.729672,0.0,5.149988,15.74955126,37.36731037,32.71471701,14.16842136,0.0,18.34936688,29.65075642,0.060788,0.041112,5.0686722
Wotje,,4.159476,3.249936,1.512424,1.69488,0.0,10.616716,39.17855578,30.61149983,14.24568577,15.96425863,0.0,46.62130082,56.13773401,2.951196,2.196296,52.802228
