atoll,species,population
Oroluk,Anous_stolidus,251.0
Orona,Anous_stolidus,20.0
Pakin,Anous_stolidus,26.0
Palmerston,Anous_stolidus,1740.0
Palmyra,Anous_stolidus,564.0
Paraoa,Anous_stolidus,617.0
Pearl_and_Hermes,Anous_stolidus,4000.0
Peremul_Par,Anous_stolidus,0.0
Peros_Banhos,Anous_stolidus,1582.0
Pinaki,Anous_stolidus,589.0
Pingelap,Anous_stolidus,167.0
Pinipel,Anous_stolidus,0.0
Pukapuka,Anous_stolidus,574.0
Puka-Puka,Anous_stolidus,0.0
Pukarua,Anous_stolidus,798.0
Pulap,Anous_stolidus,214.0
Pulusuk,Anous_stolidus,226.0
Puluwat,Anous_stolidus,176.0
Qelelevu,Anous_stolidus,228.0
Rakahanga,Anous_stolidus,498.0
Rangiroa,Anous_stolidus,316.0
Raraka,Anous_stolidus,2000.0
Raroia,Anous_stolidus,706.0
Rasdhoo,Anous_stolidus,0.0
Ravahere,Anous_stolidus,316.0
Rawaki,Anous_stolidus,8000.0
Reao,Anous_stolidus,815.0
Redlick,Anous_stolidus,0.0
Reitoru,Anous_stolidus,660.0
Rekareka,Anous_stolidus,560.0
Rongelap,Anous_stolidus,591.0
Rongerik,Anous_stolidus,500.0
Rose,Anous_stolidus,56.0
Rowa,Anous_stolidus,0.0
Saloman,Anous_stolidus,502.0
Sama,Anous_stolidus,0.0
Samasuma,Anous_stolidus,0.0
Sapwuahfik,Anous_stolidus,126.0
Satawan,Anous_stolidus,86.0
Scilly,Anous_stolidus,36.0
Sorol,Anous_stolidus,300.0
South_Maalhosmadulu,Anous_stolidus,0.0
South_Nilandhe,Anous_stolidus,0.0
St_Francois,Anous_stolidus,0.0
St_Joseph,Anous_stolidus,512.0
Starbuck,Anous_stolidus,0.0
Suheli_Par,Anous_stolidus,150.0
Surprise,Anous_stolidus,737.0
Suwarrow,Anous_stolidus,544.0
Swains,Anous_stolidus,474.0
Tabiteuea,Anous_stolidus,1319.0
Tabuaeran,Anous_stolidus,2000.0
Taenga,Anous_stolidus,663.0
Tahanea,Anous_stolidus,860.0
Taiaro,Anous_stolidus,389.0
Taka,Anous_stolidus,780.0
Takapoto,Anous_stolidus,359.0
Takaroa,Anous_stolidus,588.0
Takume,Anous_stolidus,0.0
Takuu,Anous_stolidus,100.0
Tarawa,Anous_stolidus,328.0
Tatakoto,Anous_stolidus,1630.0
Tauere,Anous_stolidus,774.0
Tekokota,Anous_stolidus,1068.0
Temitangi,Anous_stolidus,1866.0
Temoe,Anous_stolidus,200.0
Tenararo,Anous_stolidus,100.0
Tenaruga,Anous_stolidus,206.0
Tepoto,Anous_stolidus,180.0
Teraina,Anous_stolidus,2558.0
Tetiaroa,Anous_stolidus,21104.0
Thiladhunmathi,Anous_stolidus,0.0
Tikehau,Anous_stolidus,278.0
Toau,Anous_stolidus,300.0
Tongareva,Anous_stolidus,1900.0
Tuanake,Anous_stolidus,234.0
Tubbataha,Anous_stolidus,1702.0
Tupai,Anous_stolidus,125.0
Tureia,Anous_stolidus,845.0
Ujae,Anous_stolidus,542.0
Ujelang,Anous_stolidus,577.0
Ulithi,Anous_stolidus,249.0
Utirik,Anous_stolidus,0.0
Vahanga,Anous_stolidus,20.0
Vahitahi,Anous_stolidus,980.0
Vairaatea,Anous_stolidus,972.0
Vaitupu,Anous_stolidus,485.0
Vanavana,Anous_stolidus,568.0
Vattaru,Anous_stolidus,0.0
Wailagilala,Anous_stolidus,400.0
Wake,Anous_stolidus,1000.0
West_Fayu,Anous_stolidus,346.0
Woleai,Anous_stolidus,645.0
Wotho,Anous_stolidus,690.0
Wotje,Anous_stolidus,724.0
Abaiang,Anous_minutus,4420.0
Abariringa,Anous_minutus,100.0
Abemama,Anous_minutus,3040.0
Addu,Anous_minutus,0.0
Ahe,Anous_minutus,593.0
Ahunui,Anous_minutus,288.0
Ailinginae,Anous_minutus,95.0
Ailinglaplap,Anous_minutus,2771.0
Ailuk,Anous_minutus,1991.0
Aldabra,Anous_minutus,0.0
Alphonse,Anous_minutus,0.0
Amanu,Anous_minutus,336.0
Anaa,Anous_minutus,0.0
Analtin,Anous_minutus,0.0
Ant,Anous_minutus,15000.0
Anuanuraro,Anous_minutus,208.0
Anuanurunga,Anous_minutus,166.0
Apataki,Anous_minutus,1147.0
Aranuka,Anous_minutus,2263.0
Aratika,Anous_minutus,680.0
Ari,Anous_minutus,0.0
Arno,Anous_minutus,2574.0
Arutua,Anous_minutus,1129.0
Astove,Anous_minutus,0.0
Atafu,Anous_minutus,30000.0
Aur,Anous_minutus,2349.0
Awin,Anous_minutus,0.0
Bangaram,Anous_minutus,0.0
Beautemps-Beaupre,Anous_minutus,3770.0
Bellona,Anous_minutus,4800.0
Beru,Anous_minutus,1945.0
Bikar,Anous_minutus,400.0
Bikini,Anous_minutus,6000.0
Birnie,Anous_minutus,0.0
Bitra_Par,Anous_minutus,0.0
Bokaak,Anous_minutus,125.0
Bramble_Haven,Anous_minutus,0.0
Budibudi,Anous_minutus,0.0
Butaritari,Anous_minutus,4100.0
Byramgore,Anous_minutus,0.0
Caroline,Anous_minutus,17000.0
Cherbaniani,Anous_minutus,0.0
Chesterfield,Anous_minutus,129228.0
Chetlat,Anous_minutus,0.0
Clipperton,Anous_minutus,1374.0
Cocos,Anous_minutus,0.0
Conflict,Anous_minutus,0.0
Cosmoledo,Anous_minutus,0.0
Diego_Garcia,Anous_minutus,0.0
Ducie,Anous_minutus,0.0
Eauripik,Anous_minutus,2252.0
Ebon,Anous_minutus,2133.0
Egmont,Anous_minutus,0.0
Egum,Anous_minutus,4781.0
Elato,Anous_minutus,0.0
Enderbury,Anous_minutus,10000.0
Eniwetok,Anous_minutus,3400.0
Erikub,Anous_minutus,1130.0
Etal,Anous_minutus,408.0
Europa,Anous_minutus,0.0
Faadhippolhu,Anous_minutus,0.0
Faaite,Anous_minutus,1250.0
Fakahina,Anous_minutus,267.0
Fakaofo,Anous_minutus,608.0
Fakarava,Anous_minutus,141.0
Fangatau,Anous_minutus,316.0
Fangataufa,Anous_minutus,70.0
Faraulep,Anous_minutus,1656.0
Farquhar,Anous_minutus,0.0
Felidhu,Anous_minutus,0.0
French_Frigate_Shoals,Anous_minutus,4000.0
Funafuti,Anous_minutus,2000.0
Gaafaru,Anous_minutus,0.0
Glorioso,Anous_minutus,0.0
Great_Chagos_Bank,Anous_minutus,0.0
Haddhunmathi,Anous_minutus,0.0
Hao,Anous_minutus,415.0
Haraiki,Anous_minutus,100.0
Helen,Anous_minutus,3500.0
Hereheretui,Anous_minutus,587.0
Hikueru,Anous_minutus,462.0
Hiti,Anous_minutus,0.0
Huon,Anous_minutus,0.0
Huvadhu,Anous_minutus,0.0
Ifalik,Anous_minutus,2064.0
Ihavandhippolu,Anous_minutus,0.0
Jaluit,Anous_minutus,1000.0
Jemo,Anous_minutus,2000.0
Johnston,Anous_minutus,600.0
Kademat,Anous_minutus,0.0
Kalpeni,Anous_minutus,0.0
Kapingamarangi,Anous_minutus,1655.0
Katiu,Anous_minutus,0.0
Kauehi,Anous_minutus,641.0
Kaukura,Anous_minutus,992.0
Kavaratti,Anous_minutus,0.0
Kilinailau,Anous_minutus,0.0
Kiltan,Anous_minutus,0.0
Kiritimati,Anous_minutus,200000.0
Kolhumadulu,Anous_minutus,0.0
Kuop,Anous_minutus,0.0
