atoll,region,country,group,lat,long,alternative_names
Malden,Polynesia,Kiribati,,-4.0221,-154.925,
Maloelap,Micronesia,Marshall_Islands,Ratak Chain,8.737,171.0411,
Malum,Melanesia,Papua_New_Guinea,Solomon Archipelago,-3.1461,154.4937,
Manihi,Polynesia,French_Polynesia,Tuamotu Archipelago,-14.4038,-145.9477,"Paeua, Wilson"
Manihiki,Polynesia,Cook_Islands,Northern Cook Islands,-10.4349377,-160.9958241,
Manra,Polynesia,Kiribati,Phoenix Islands,-4.4556,-171.2444,Sydney
Manuae,Polynesia,Cook_Islands,Southern Cook Islands,-19.2697,-158.9441,"Harvey, Hervey"
Manuhangi,Polynesia,French_Polynesia,Tuamotu Archipelago,-19.2011,-141.2441,"Te Fara, Cumberland"
Marakei,Micronesia,Kiribati,Gilbert Islands,2.0014,173.2765,
Maria,Polynesia,French_Polynesia,Austral Islands,-21.810839,-154.705309,"Hull, Iles Maria"
Maria_Est,Polynesia,French_Polynesia,Tuamotu Archipelago,-22.016,-136.1892,"Maria, Moerenhout"
Marokau,Polynesia,French_Polynesia,Tuamotu Archipelago,-18.0605,-142.2658,Manaka
Marutea_Nord,Polynesia,French_Polynesia,Tuamotu Archipelago,-17.0245,-143.1548,"Taunga tauranga-e-havana, Furneaux"
Marutea_Sud,Polynesia,French_Polynesia,Tuamotu Archipelago,-21.5207,-135.5566,"Lord Hood Island, Marutea-i-runga, Nuku-nui"
Mataiva,Polynesia,French_Polynesia,Tuamotu Archipelago,-14.8831,-148.6738,"Matahiva, Lazareff, Tepoetiriura"
Matureivavao,Polynesia,French_Polynesia,Tuamotu Archipelago,-21.4721,-136.3935,"Maturei-vavao, Melbourne"
Maupihaa,Polynesia,French_Polynesia,Society Islands,-16.8098,-153.9555,Mopelia
McKean,Polynesia,Kiribati,Phoenix Islands,-3.5954,-174.1229,"Drummond, Wigram, Arthur"
Mellish,Melanesia,Australia,,-17.39145,155.86848,
Midway,Polynesia,US,Isolated Northern Pacific,28.2417536,-177.3754308,"Kauihelani, Pihemanu, Middlebrook"
Mili,Micronesia,Marshall_Islands,Ratak Chain,6.131,171.9422,Mile
Minicoy,Indian_Ocean,India,Lakshadweep,8.2958,73.0451,
Mokil,Micronesia,Federated_States_Micronesia,Caroline Islands,6.6816046,159.756297,"Manton, Mwoakilloa, Wellington, Duperrey"
Morane,Polynesia,French_Polynesia,Tuamotu Archipelago,-23.1569,-137.133278,"Grimwood, Cadmus"
Moruroa,Polynesia,French_Polynesia,Tuamotu Archipelago,-21.8347,-138.8842,"Mururoa, Mururura, Matilda, Aopuni"
Motu_One,Polynesia,French_Polynesia,Society Islands,-15.8143,-154.5224,Bellinghausen
Motutunga,Polynesia,French_Polynesia,Tuamotu Archipelago,-17.1036,-144.3686,"Adventure, San Blas"
Mulaku,Indian_Ocean,Maldives,,2.9917,73.5007,
Murilo,Micronesia,Federated_States_Micronesia,Caroline Islands,8.679,152.2321,
Namoluk,Micronesia,Federated_States_Micronesia,Caroline Islands,5.914816,153.139782,
Namonuito,Micronesia,Federated_States_Micronesia,Caroline Islands,8.704694,150.076698,"Namonweito, Weito, Magur, Anonima"
Namorik,Micronesia,Marshall_Islands,Ralik Chain,5.6137,168.1155,Namdrik
Namu,Micronesia,Marshall_Islands,Ralik Chain,7.9867,168.1679,
Nanumanga,Polynesia,Tuvalu,Tuvalu,-6.2885,176.3202,
Nanumea,Polynesia,Tuvalu,Tuvalu,-5.6612,176.1035,San Augustin
Napuka,Polynesia,French_Polynesia,Tuamotu Archipelago,-14.1726,-141.231,Pukaroa
Nengonengo,Polynesia,French_Polynesia,Tuamotu Archipelago,-18.7518,-141.8072,Prince William Henry
Ngcheangel,Micronesia,Palau,Caroline Islands,8.08693,134.71959,"Kayangel, Ngajangel"
Ngulu,Micronesia,Federated_States_Micronesia,Caroline Islands,8.4507,137.4544,
Niau,Polynesia,French_Polynesia,Tuamotu Archipelago,-16.1530174,-146.3557281,Greig
Nihiru,Polynesia,French_Polynesia,Tuamotu Archipelago,-16.6922,-142.8347,"Nikia, Nigeri"
Nikumaroro,Polynesia,Kiribati,Phoenix Islands,-4.6764,-174.5185,"Gardner, Kemins, Kemis, Motu Oonga, Motu Oona, Mary Letitia"
Nikunau,Micronesia,Kiribati,Gilbert Islands,-1.3475,176.4512,
Ninigo,Melanesia,Papua_New_Guinea,Bismarck Archipelago,-1.3121,144.2766,
Nissan,Melanesia,Papua_New_Guinea,,-4.5139,154.2031,
Niulakita,Polynesia,Tuvalu,Tuvalu,-10.73038,179.67579,
Niutao,Polynesia,Tuvalu,Tuvalu,-6.1087,177.3418,"El Gran Cocal, Loper"
Nomwin,Micronesia,Federated_States_Micronesia,Caroline Islands,8.541064,151.773701,
Nonouti,Micronesia,Kiribati,Gilbert Islands,-0.6534,174.3477,
North_Keeling,Indian_Ocean,Australia,,-11.833172,96.82416,
North_Maalhosmadulu,Indian_Ocean,Maldives,,5.5827,72.9493,
North_Male,Indian_Ocean,Maldives,,4.4214,73.5037,
North_Nilandhe,Indian_Ocean,Maldives,,3.1951,72.9295,
North_Tubbataha,Micronesia,Philippines,,8.903608,119.9454,
Nuguria,Melanesia,Papua_New_Guinea,Solomon Archipelago,-3.3195,154.6854,Abgarris
Nui,Polynesia,Tuvalu,Tuvalu,-7.2258,177.1546,"Isla de Jesús, Egg, Netherland"
Nukapu,Melanesia,Solomon_Islands,Santa Cruz Islands,-10.0906,166.0389,
Nukufetau,Polynesia,Tuvalu,Tuvalu,-7.9942,178.3778,
Nukulaelae,Polynesia,Tuvalu,Tuvalu,-9.3872,179.8424,Mitchell
Nukumanu,Melanesia,Papua_New_Guinea,Solomon Archipelago,-4.5429,159.3974,Tasman
Nukumbasanga,Melanesia,Fiji,,-16.31027,-179.26344,
Nukunonu,Polynesia,Tokelau,Tokelau Islands,-9.167676,-171.821567,Duke of Clarence
Nukuoro,Micronesia,Federated_States_Micronesia,Caroline Islands,3.8478,154.9414,Monteverde
Nukusemanu,Melanesia,Fiji,,-16.4767,-179.46304,
Nukutepipi,Polynesia,French_Polynesia,Tuamotu Archipelago,-20.7045,-143.052,"Nuku-te-pipi, Margaret"
Numa_Miombilou,Melanesia,Solomon_Islands,Santa Cruz Islands,-10.228,166.2353,"Nifiloli, Niuve, Makalom"
Nupani,Melanesia,Solomon_Islands,Santa Cruz Islands,-10.0834,165.729,"Nalongo, Nimba"
Oeno,Polynesia,Pitcairn_Islands,Pitcairn Islands,-23.9256146,-130.7288579,
Olimarao,Micronesia,Federated_States_Micronesia,Caroline Islands,7.6901,145.8716,
Onotoa,Micronesia,Kiribati,Gilbert Islands,-1.88605,175.56633,
Ontong_Java,Melanesia,Solomon_Islands,Solomon Islands,-5.349,159.3282,"Luangiua, Lord Howe"
Oroluk,Micronesia,Federated_States_Micronesia,Caroline Islands,7.5207959,155.2777433,"Mira Cómo Vas, Bajo Triste, San Agustín"
Orona,Polynesia,Kiribati,Phoenix Islands,-4.5118,-172.1798,Hull
Pakin,Micronesia,Federated_States_Micronesia,Caroline Islands,7.059382,157.803117,
Palmerston,Polynesia,Cook_Islands,Northern Cook Islands,-18.0474,-163.1548,Avarau
Palmyra,Polynesia,US,Line Islands,5.882204,-162.0748745,
Paraoa,Polynesia,French_Polynesia,Tuamotu Archipelago,-19.1365,-140.69,"Tohora, Hariri, Gloucester"
Pearl_and_Hermes,Polynesia,US,Hawaiian Islands,27.873,-175.8354,Holoikauaua
Peremul_Par,Indian_Ocean,India,Lakshadweep,11.1499,72.0609,
Peros_Banhos,Indian_Ocean,Mauritius,Chagos Archipelago,-5.3542,71.8489,
Pikelot,Micronesia,Federated_States_Micronesia,,8.1059,147.6518,
Pinaki,Polynesia,French_Polynesia,Tuamotu Archipelago,-19.3949,-138.6751,"Te Kiekie, Artomix, Whitsunday"
Pingelap,Micronesia,Federated_States_Micronesia,Caroline Islands,6.2147306,160.6991088,Pikelap
Pinipel,Melanesia,Papua_New_Guinea,Solomon Archipelago,-4.4,154.1201,Green
Platte,Indian_Ocean,Seychelles,,-5.881302,55.340041,
Providence,Indian_Ocean,Seychelles,,-9.43015,51.05335,
Pukapuka,Polynesia,Cook_Islands,Northern Cook Islands,-10.8858,-165.8534,"Danger, Otter, San Bernardo"
Puka-Puka,Polynesia,French_Polynesia,Tuamotu Archipelago,-14.8176,-138.8167,Dog
Pukarua,Polynesia,French_Polynesia,Tuamotu Archipelago,-18.3159,-137.0181,Searle Island; Pukaruha
Pulap,Micronesia,Federated_States_Micronesia,Caroline Islands,7.5901,149.422,"Pollap, Los Martires"
Pulusuk,Micronesia,Federated_States_Micronesia,Caroline Islands,6.6915,149.3024,"Houk, Bartolome"
Puluwat,Micronesia,Federated_States_Micronesia,Caroline Islands,7.3592,149.1893,"Poluwat, Polowat"
Qelelevu,Melanesia,Fiji,,-16.107,-179.281,
Rakahanga,Polynesia,Cook_Islands,Northern Cook Islands,-10.0165,-161.0896,Grand Duke Alexander
Rangiroa,Polynesia,French_Polynesia,Tuamotu Archipelago,-15.109023,-147.69682,"Te Kokota, Dean, Nairsa, Flies"
Raraka,Polynesia,French_Polynesia,Tuamotu Archipelago,-16.1764,-144.8953,Te Marie
Raroia,Polynesia,French_Polynesia,Tuamotu Archipelago,-16.0809,-142.4241,"Raro-nuku, Barclay de Tolley"
Rasdhoo,Indian_Ocean,Maldives,,4.2921,72.9834,
Ravahere,Polynesia,French_Polynesia,Tuamotu Archipelago,-18.2358,-142.1475,Dawhaida
Rawaki,Polynesia,Kiribati,Phoenix Islands,-3.7217,-170.7118,Phoenix
Reao,Polynesia,French_Polynesia,Tuamotu Archipelago,-18.516,-136.3717,Clermont Tonnerre
Redlick,Melanesia,Papua_New_Guinea,,-10.8735,152.5466,
Reitoru,Polynesia,French_Polynesia,Tuamotu Archipelago,-17.8555,-143.0744,"Te Pirehi, Bird"
Rekareka,Polynesia,French_Polynesia,Tuamotu Archipelago,-16.834,-141.9218,"Tehuata, Tu-henua, Good Hope, Bonne Esperance, La Sagitaria"
Rongelap,Micronesia,Marshall_Islands,Ralik Chain,11.340541,166.802718,
Rongerik,Micronesia,Marshall_Islands,Ralik Chain,11.356,167.4482,"Rongdrik, Rondik"
Rose,Polynesia,US,Samoan Islands,-14.5424865,-168.1637445,"Manu, Vuil, Kordinkov"
Rowa,Melanesia,Vanuatu,Banks Islands,-13.6239,167.5185,"Reef, Roua, Ayo"
Saloman,Indian_Ocean,Mauritius,Chagos Archipelago,-5.3303,72.246,
Sama,Melanesia,Papua_New_Guinea,Bismarck Archipelago,-1.4032,144.0808,
Samasuma,Melanesia,Papua_New_Guinea,Bismarck Archipelago,-1.481,144.0458,Sumasuma
Sapwuahfik,Micronesia,Federated_States_Micronesia,Caroline Islands,5.8161306,157.2477972,"Ngatik, Raven, Los Valientes"
Satawan,Micronesia,Federated_States_Micronesia,Caroline Islands,5.409714,153.58651,
Scilly,Polynesia,French_Polynesia,Society Islands,-16.5434,-154.6841,"Manua'e, Isla de Pajaros, Fenua-ura"
Sikaiana,Melanesia,Solomon_Islands,,-8.40494,162.8823,
Sorol,Micronesia,Federated_States_Micronesia,Caroline Islands,8.123771,140.40636,
South_Keeling,Indian_Ocean,Australia,,-12.153703,96.870077,
South_Maalhosmadulu,Indian_Ocean,Maldives,,5.158859,72.981639,
South_Male,Indian_Ocean,Maldives,,3.98368,73.43897,
South_Nilandhe,Indian_Ocean,Maldives,,2.8372,72.934,
South_Tubbataha,Micronesia,Philippines,,8.784577,119.82014,
St_Francois,Indian_Ocean,Seychelles,,-7.1177,52.749,
St_Joseph,Indian_Ocean,Seychelles,,-5.4306,53.3358,
Starbuck,Polynesia,Kiribati,Phoenix Islands,-5.6405,-155.8776,
Suheli_Par,Indian_Ocean,India,Lakshadweep,10.0774,72.2915,
Surprise,Melanesia,New_Caledonia,Loyalty Islands,-18.4121,163.1109,
Suwarrow,Polynesia,Cook_Islands,Northern Cook Islands,-13.2279,-163.1261,"Suvorov, Suvarou, Suvarov, Souvorow, Souwaroff, Souworoff"
Swains,Polynesia,American_Samoa,Tokelau Islands,-11.052904,-171.0767349,"Olohega, Olosega, Quiros, Jennings"
Tabiteuea,Micronesia,Kiribati,Gilbert Islands,-1.4089,174.8694,"Drummond, Bishop"
Tabuaeran,Polynesia,Kiribati,Line Islands,3.872,-159.3170178,Fanning
Taenga,Polynesia,French_Polynesia,Tuamotu Archipelago,-16.3574,-143.1398,"Taunga-hara, Holt, Yermolov"
Tahanea,Polynesia,French_Polynesia,Tuamotu Archipelago,-16.8646,-144.7778,"Tchitchagoff, Chichagov, San Julián"
Taiaro,Polynesia,French_Polynesia,Tuamotu Archipelago,-15.7438,-144.6336,"Maro-taua, King"
Taka,Micronesia,Marshall_Islands,Ratak Chain,11.1520422,169.6179182,"Toke, Toka"
Takapoto,Polynesia,French_Polynesia,Tuamotu Archipelago,-14.619792,-145.203269,"Tua-poto, Oura, Spiridof"
Takaroa,Polynesia,French_Polynesia,Tuamotu Archipelago,-14.4496,-144.9694,"Taka-roa, Takapua, King George"
Takume,Polynesia,French_Polynesia,Tuamotu Archipelago,-15.8099,-142.2098,"Pukamaru, Volkonsky"
Takuu,Melanesia,Papua_New_Guinea,Solomon Archipelago,-4.7537,156.9735,"Takuu Mortlock, Marqueen"
Tarawa,Micronesia,Kiribati,Gilbert Islands,1.4387,172.9878,
Tatakoto,Polynesia,French_Polynesia,Tuamotu Archipelago,-17.3416,-138.3967,"Clerke, Narcissus, d'Augier"
Tauere,Polynesia,French_Polynesia,Tuamotu Archipelago,-17.3772,-141.506,"Taouere, St. Simon, Te Putua, La Decena"
Tekokota,Polynesia,French_Polynesia,Tuamotu Archipelago,-17.3135,-142.5725,"Doubtful, La del Peligro, Los Mártires"
Temitangi,Polynesia,French_Polynesia,Tuamotu Archipelago,-21.6803,-140.6266,"Tematangi, Bligh"
Temoe,Polynesia,French_Polynesia,Gambier Group,-23.3466,-134.4779,"Te Moe, Crescent"
Tenararo,Polynesia,French_Polynesia,Tuamotu Archipelago,-21.3043,-136.7447,
Tenaruga,Polynesia,French_Polynesia,Tuamotu Archipelago,-21.3451,-136.542,"Tenania, Narunga, Minto"
Tepoto,Polynesia,French_Polynesia,Tuamotu Archipelago,-16.8206,-144.2804,"Tepoto Sud, Tepoto South, Ti Poto, Eliza"
Teraina,Polynesia,Kiribati,Line Islands,4.6839252,-160.3783959,Washington
Tetiaroa,Polynesia,French_Polynesia,Society Islands,-17.0162552,-149.5897766,Teti'aroa
Thiladhunmathi,Indian_Ocean,Maldives,,6.327292,73.07175,
Thoddoo,Indian_Ocean,Maldives,,4.437293,72.9572,
Tikehau,Polynesia,French_Polynesia,Tuamotu Archipelago,-15.0031,-148.1738,"Porutu-kai, Krusenstern"
Tilianu,Melanesia,Papua_New_Guinea,,-2.276,147.5502,
Toau,Polynesia,French_Polynesia,Tuamotu Archipelago,-15.907,-146.0233,"Pakuria, Taha-a-titi, Elizabeth"
Tongareva,Polynesia,Cook_Islands,Northern Cook Islands,-8.998556,-157.9715,"Penrhyn, Mngarongaro, Hararanga, Te Pitaka"
Torlesse,Melanesia,Papua_New_Guinea,,-10.8159,152.2035,
Tuanake,Polynesia,French_Polynesia,Tuamotu Archipelago,-16.6531,-144.2148,"Mata-rua-puna, Raevski, Reid"
Tupai,Polynesia,French_Polynesia,Society Islands,-16.2623,-151.8165,Motu Iti
Tureia,Polynesia,French_Polynesia,Tuamotu Archipelago,-20.8293,-138.539,"Papahena, Carysfort"
Ujae,Micronesia,Marshall_Islands,Ralik Chain,9.0812091,165.6122758,Wujae
Ujelang,Micronesia,Marshall_Islands,Ralik Chain,9.8206101,160.9263437,"Wujlan, Providence"
Ulithi,Micronesia,Federated_States_Micronesia,Caroline Islands,9.965174,139.663029,"Wulthiy, Yulthiy, Wugöy, Kings, Chickpea"
Utirik,Micronesia,Marshall_Islands,Ratak Chain,11.2497,169.788,"Utrik, Utrok"
