species,atoll,source,Order,Family
"Emoia cyanura (Lesson, 1830)",Funafuti,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Haraiki,"Fontaine, B., et al. (2021) Mission Kivi Kuaka 2021 Rapport naturaliste",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Jaluit,"Gressitt, J.L. (1961) Terrestrial fauna",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Kapingamarangi,"Niering, W. A. (1963) Terrestrial ecology of Kapingamarangi atoll, Caroline Islands",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Maria,"Meyer, J.-Y. (2013) Rapport de mission sur l'atoll de Maria - inventaire floristique, observations ornithologiques et recommandations de gestion et de conservation",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Matureivavao,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Maupihaa,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Mokil,"Buden, D.W. (1995) Reptiles, birds, and mammals of Mokil and Pingelap atolls, Eastern Caroline Islands",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Moruroa,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Namoluk,"Marshall, M., & Fosberg, F.R. (1975) The natural history of Namoluk atoll, Eastern Caroline Islands with identification of vascular flora",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Niau,"Ineich, I., et al. (2007) Lizards of Niau Atoll, Tuamotu Archipelago, French Polynesia",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Nikumaroro,"Pierce, R.J., et al. (2006) Phoenix island conservation survey and assessment of restoration feasibility - Kiribati",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Niutao,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Nukulaelae,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Nukunonu,"Whitaker, A.H. (1970) A note on the lizards of the Tokelau Islands, Polynesia",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Nukutepipi,"Salvat, F., & Salvat, B. (1992) Nukutipipi atoll, Tuamotu Archipelago - geomorphology, land and marine flora and fauna and interrelationships",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Oeno,"Gill, B.J. (1993) The lizards of the Pitcairn Island Group, South Pacific",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Onotoa,"Moul, E.T. (1954) Preliminary report on land animals at Onotoa atoll, Gilbert Islands",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Orona,"Pierce, R.J., et al. (2006) Phoenix island conservation survey and assessment of restoration feasibility - Kiribati",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Pakin,"Buden, D.W. (1996) Reptiles, birds, and mammals of Pakin atoll, Eastern Caroline Islands",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Pingelap,"Buden, D.W. (1995) Reptiles, birds, and mammals of Mokil and Pingelap atolls, Eastern Caroline Islands",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Rangiroa,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Raroia,"Morrison, J.P.E. (1954) Animal ecology of Raroia Atoll, Tuamotus",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Reitoru,"Fontaine, B., et al. (2021) Mission Kivi Kuaka 2021 Rapport naturaliste",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Rongelap,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Sapwuahfik,"Buden, D.W. (2000) The reptiles of Sapwuahfik Atoll, Federated States of Micronesia",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Satawan,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Scilly,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Sorol,"Buden, D.W. (2013) Reptiles of Sorol Atoll, Yap, Federated States of Micronesia",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Suwarrow,"Crombie, R.I., & Steadman, D.W. (1986) The lizards of Rarotonga and Mangaia, Cook Island Group, Oceania",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Swains,"Amerson, A.B., et al. (1982) Wildlife and wildlife habitat of American Samoa. II. Accounts of flora and fauna",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Taka,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Takapoto,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Tekokota,"Fontaine, B., et al. (2021) Mission Kivi Kuaka 2021 Rapport naturaliste",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Tetiaroa,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Tikehau,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Tongareva,"Burt, C.E., & Burt, M.D. (1932) Herpetological results of the Whitney South Sea expedition",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Tupai,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Scincidae
