atoll,nppv,chl,phyc,temp,velo
Tenararo,0.520051243,0.06029821,0.686248359,28.29895214,0.061635514
Tenaruga,0.520051243,0.06029821,0.686248359,28.29895214,0.061635514
Tepoto,1.73794079,0.118918903,0.83205272,28.35659565,0.0406822
Teraina,2.108957582,0.152707491,0.860793382,28.37273712,0.101721413
Tetiaroa,1.257109244,0.089808164,0.802509486,28.36146445,0.050891272
Thiladhunmathi,1.636867193,0.106641377,0.847265583,28.39925732,0.130712231
Tikehau,1.874385837,0.125560898,0.834870765,28.37391282,0.04089886
Toau,1.821789365,0.122939245,0.837685354,28.36659044,0.045078616
Tongareva,1.757840445,0.119253551,0.824321094,28.40145491,0.043762132
Tuanake,1.720603318,0.117332125,0.830895739,28.35854512,0.042779884
Tupai,1.16060712,0.083828487,0.783434235,28.36931736,0.047038207
Tureia,0.562825263,0.061566084,0.693200944,28.30722092,0.061135039
Ujae,1.282223453,0.086078242,0.773735614,28.39393072,0.068425792
Ujelang,1.093759945,0.078582813,0.771120454,28.39413478,0.054703116
Ulithi,1.201595307,0.082747802,0.798848635,28.40351222,0.076573468
Utirik,1.122643398,0.079667007,0.757554965,28.37674053,0.068572352
Vahanga,0.520051243,0.06029821,0.686248359,28.29895214,0.061635514
Vahitahi,0.651462287,0.063445132,0.699219965,28.33179258,0.048892839
Vairaatea,0.652663574,0.063749615,0.700644503,28.32669196,0.050835364
Vaitupu,1.660333871,0.110560442,0.797169688,28.42194347,0.058320437
Vanavana,0.57804368,0.062176833,0.695861717,28.30733124,0.06081655
Wailagilala,1.110781973,0.082858388,0.794788066,28.35373632,0.067708016
Wake,0.763422477,0.067974822,0.738833131,28.35550003,0.078745888
West_Fayu,1.173919793,0.0804951,0.778359451,28.40719003,0.076151962
Woleai,1.197761855,0.081286814,0.771708364,28.40876463,0.085781314
Wotho,1.371468964,0.091071439,0.794955334,28.38801587,0.067124032
Wotje,1.554429248,0.100526086,0.794458114,28.3860449,0.090694607
