species,atoll,status,reference,Order,Family
Pisonia grandis Plum. ex L.,Kiritimati,N,"Wester, L. (1985) Checklist of the vascular flora of the Northern Line Islands",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Kwajalein,N,"Fosberg, F.R. (1955) Northern Marshall Islands Expedition, 1951-1952 - land biota: vascular plants",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Lae,N,"Fosberg, F.R. (1955) Northern Marshall Islands Expedition, 1951-1952 - land biota: vascular plants",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Likiep,N,"Fosberg, F.R. (1955) Northern Marshall Islands Expedition, 1951-1952 - land biota: vascular plants",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Losap,N,"Manner, H.I., & Sana, D. (1995) The vascular plants of Losap Atoll",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Lukunor,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Majuro,N,"Velde, N.V. (2003) The vascular plants of Majuro Atoll, Republic of the Marshall Islands",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Malden,N,"Pierce, R., et al. (2015) Malden Island, Kiribati - feasibility of cat eradication for the recovery of seabirds",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Manihiki,N,"Cranwell, L.M. (1933) Flora of Manihiki, Cook Group",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Manra,N,"Fosberg, F.R., & Stoddart, D.R. (1994) Flora of the Phoenix Islands, Central Pacific",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Manuae,N,"Steibl, S., et al. (2025) Terrestrial biodiversity of Manuae atoll, Cook Islands",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Maria,N,"Meyer, J.-Y. (2013) Rapport de mission sur l'atoll de Maria - inventaire floristique, observations ornithologiques et recommandations de gestion et de conservation",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Maupihaa,N,"Sachet, M.-H. (1983) Natural history of Mopelia Atoll, Society Islands",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Mokil,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Morane,N,"Meyer, J.-Y.H., & Poncet, R. (2022) La végétation, la flore et les lichens de l'atoll de Morane (Tuamotu-Gambier), un écosystème insulaire encore intact",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Namoluk,N,"Marshall, M., & Fosberg, F.R. (1975) The natural history of Namoluk Atoll, Eastern Caroline Islands with identification of vascular flora",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Namonuito,N,"Stone, B.C. (1959) The flora of Namonuito and the Hall Islands",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Ngcheangel,N,"Gressitt, J.L. (1953) Notes on Ngaruangl and Kayangel Atolls, Palau Islands",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Niau,N,"Butaud, F.-J., & Jacq, F.A. (2014) Guide floristique - atolls soulevés des Tuamotu (Polynésie francaise)",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Nikumaroro,N,"Fosberg, F.R., & Stoddart, D.R. (1994) Flora of the Phoenix Islands, Central Pacific",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Niutao,N,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Nui,N,"Woodroffe, C.D. (1985) Vegetation and flora of Nui Atoll, Tuvalu",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Nukulaelae,N,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Nukumbasanga,N,"Whistler, W.A. (2012) Botanical survey of the Ringgold Islands, Fiji",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Nukunonu,N,"Parham, P.E.V. (1971) The vegetation of the Tokelau Islands with special reference to the plants of Nukunonu Atoll",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Nukusemanu,N,"Whistler, W.A. (2012) Botanical survey of the Ringgold Islands, Fiji",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Nukutepipi,N,"Salvat, F., & Salvat, B. (1992) Nukutipipi atoll, Tuamotu Archipelago - geomorphology, land and marine flora and fauna and interrelationships",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Oeno,N,"Florence, J., Waldren, S., & Chepstow-Lusty, A.J. (1995) The flora of the Pitcairn Islands: a review",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Onotoa,N,"Moul, E.T. (1957) Preliminary report on the flora of Onotoa Atoll, Gilbert Islands",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Ontong Java,N,"Bayliss-Smith, T. (1973) Ecosystem and economic system of Ontong Java Atoll, Solomon Islands",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Orona,N,"Fosberg, F.R., & Stoddart, D.R. (1994) Flora of the Phoenix Islands, Central Pacific",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Palmyra,N,"Wester, L. (1985) Checklist of the vascular flora of the Northern Line Islands",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Pingelap,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Puluwat,N,"Manner, H.I., Mallon, E. (1989) An annotated list of the vascular plants of Puluwat atoll",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Qelelevu,N,"Whistler, W.A. (2012) Botanical survey of the Ringgold Islands, Fiji",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Rangiroa,N,"Stoddart, D.R., & Sachet, M.-H. (1969) Reconnaissane geomorphology of Rangiroa Atoll, Tuamotu Archipelago with list of vascular flora of Rangiroa",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Raroia,N,"Doty, M.S., et al. (1954) Floristics and plant ecology of Raroia Atoll, Tuamotus",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Reitoru,N,"Fontaine, B., et al. (2021) Mission Kivi Kuaka 2021 Rapport naturaliste",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Rongelap,N,"Releford, J.S., et al. (2009) Flora of Rongelap and Ailinginae Atolls, Republic of the Marshall Islands",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Rose,N,"Wegmann, A., & Holzwarth, S. (2006) Rose atoll national wildlife refuge research compendium",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Sapwuahfik,N,"Buden, D.W. (2000) The reptiles of Sapwuahfik Atoll, Federated States of Micronesia",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Satawan,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,St. Joseph,N,"Stoddart, D.R., Coe, M.J., & Fosberg, F.R. (1979) D'Arros and St. Joseph, Amirante Islands",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Starbuck,N,"Sayre, C. (1994) A new species of Bidens (Asteraceae - Heliantheae) from Starbuck Island",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Surprise,N,"Caut, S., Angulo, E., & Courchamp, F. (2009) Avoiding surprise effects on Surprise Island - alien species control in a multritrophic level perspective",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Suwarrow,N,"Woodroffe, C.D., & Stoddart, D.R. (1992) Substrate specificity and episodic catastrophe: constraints on the insular plant geography of Suwarrow Atoll, Northern Cook Islands",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Swains,N,"Whistler, W.A. (1983) The flora and vegetation of Swains Island",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Tabiteuea,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Tabuaeran,N,"Wester, L. (1985) Checklist of the vascular flora of the Northern Line Islands",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Taka,N,"Fosberg, F.R. (1955) Northern Marshall Islands Expedition, 1951-1952 - land biota: vascular plants",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Takapoto,N,"Sachet, M.-H. (1983) Takapoto atoll, Tuamotu Archipelago: terrestrial vegetation and flora",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Tarawa,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Tekokota,N,"Fontaine, B., et al. (2021) Mission Kivi Kuaka 2021 Rapport naturaliste",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Tenararo,N,"Jacq F.A., (2012) Inventaires naturalistes et carte de la végétation de l'atoll de Vahanga",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Teraina,N,"Wester, L. (1985) Checklist of the vascular flora of the Northern Line Islands",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Tetiaroa,N,"Sachet, M.-H., & Fosberg, F.R. (1983) An ecological reconnaissance of Tetiaroa Atoll, French Polynesia",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Tikehau,N,"Florence, J. (1985) Contribution à l'étude d'latoll de Tikehau - Introduction a la flore et a la vegetation",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Tongareva,N,"Linton, A.M. (1933) Notes on the vegetation on Penrhyn and Manihiki islands",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Tupai,N,"Sachet, M.-H. (1983) Botanique de l'ile de Tupai, Îles de la Societe",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Ujae,N,"Fosberg, F.R. (1955) Northern Marshall Islands Expedition, 1951-1952 - land biota: vascular plants",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Ujelang,N,"Fosberg, F.R. (1955) Northern Marshall Islands Expedition, 1951-1952 - land biota: vascular plants",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Ulithi,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Utirik,N,"Fosberg, F.R. (1955) Northern Marshall Islands Expedition, 1951-1952 - land biota: vascular plants",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Vaitupu,N,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Wake,N,"Fosberg, F.R. (1959) Vegetation and flora of Wake atoll",Caryophyllales,Nyctaginaceae
Pisonia grandis Plum. ex L.,Wotho,N,"Fosberg, F.R. (1955) Northern Marshall Islands Expedition, 1951-1952 - land biota: vascular plants",Caryophyllales,Nyctaginaceae
Rivina humilis L.,South Keeling,I,"Williams, D.G. (1994) Vegetation and flora of the Cocos (Keeling) Islands",Caryophyllales,Phytolaccaceae
Rivina humilis L.,Diego Garcia,I,"Fosberg, F.R., & Bullock, A.A. (1971) List of Diego Garcia vascular plants",Caryophyllales,Phytolaccaceae
Rivina humilis L.,Funafuti,I,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Caryophyllales,Phytolaccaceae
Rivina humilis L.,Niutao,I,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Caryophyllales,Phytolaccaceae
Rivina humilis L.,Nukulaelae,I,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Caryophyllales,Phytolaccaceae
Rivina humilis L.,Vaitupu,I,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Caryophyllales,Phytolaccaceae
Plumbago aphylla Bojer ex Boiss,Aldabra,N,"Gillham, M.E. (1977) Vegetation of sea and shore-bird colonies on Aldabra atoll",Caryophyllales,Plumbaginaceae
Plumbago aphylla Bojer ex Boiss,Astove,N,"Wickens, G.E. (1979) The propagules of the terrestrial flora of the Aldabra Archipelago, Western Indian Ocean",Caryophyllales,Plumbaginaceae
Plumbago aphylla Bojer ex Boiss,Cosmoledo,N,"Fosberg, F.R., & Renvoize, S.A. (1970) Plants of Cosmoledo Atoll",Caryophyllales,Plumbaginaceae
Plumbago aphylla Bojer ex Boiss,Europa,N,"Boullet, V., Hivert, J., & Gigord, L.D.B. (2018) An updated account of the vascular flora of the Iles Eparses (Southwest Indian Ocean)",Caryophyllales,Plumbaginaceae
Plumbago auriculata Lam.,Johnston,I,"Binion Amerson, A., & Shelton, P.C. (1976) The natural history of Johnston atoll, Central Pacific Ocean",Caryophyllales,Plumbaginaceae
Plumbago zeylanica L.,Lihou,N,"Chapman, F., et al. (2021) Environmental assessment of islets and cays of Tregrosse and Lihou Reefs Coral Sea Marine Park",Caryophyllales,Plumbaginaceae
Antigonon leptopus Hook. & Arn.,Jaluit,I,"Fosberg, F.R., & Sachet, M.-H. (1962) Vascular plants recorded from Jaluit Atoll",Caryophyllales,Polygonaceae
Antigonon leptopus Hook. & Arn.,Midway,I,"Starr, F., Starr, K., & Loope, L. (2006) Annotated checklist of the vascular plants on Midway Atoll, Hawaii",Caryophyllales,Polygonaceae
Antigonon leptopus Hook. & Arn.,Rangiroa,I,"Stoddart, D.R., & Sachet, M.-H. (1969) Reconnaissane geomorphology of Rangiroa Atoll, Tuamotu Archipelago with list of vascular flora of Rangiroa",Caryophyllales,Polygonaceae
Antigonon leptopus Hook. & Arn.,Tabuaeran,I,"Wester, L. (1985) Checklist of the vascular flora of the Northern Line Islands",Caryophyllales,Polygonaceae
Antigonon leptopus Hook. & Arn.,Tarawa,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Caryophyllales,Polygonaceae
Coccoloba uvifera (L.) L.,Abariringa,I,"Degener, O., & Gillaspy, E. (1955) Canton Island, South Pacific",Caryophyllales,Polygonaceae
Coccoloba uvifera (L.) L.,Aratika,I,"Jacq F. & Lagouy E., (2010) Carte de la végétation de l’atoll de Aratika, commune de Fakarava, Archipel des Tuamotu",Caryophyllales,Polygonaceae
Coccoloba uvifera (L.) L.,Eniwetok,I,"Fosberg, F.R. (1990) A review of the natural history of the Marshall Islands",Caryophyllales,Polygonaceae
Coccoloba uvifera (L.) L.,French Frigate Shoals,I,"Amerson, A.B. (1971) The natural history of French Frigate Shoals, Northwestern Hawaiian Islands",Caryophyllales,Polygonaceae
Coccoloba uvifera (L.) L.,Jaluit,I,"Fosberg, F.R., & Sachet, M.-H. (1962) Vascular plants recorded from Jaluit Atoll",Caryophyllales,Polygonaceae
Coccoloba uvifera (L.) L.,Johnston,I,"Binion Amerson, A., & Shelton, P.C. (1976) The natural history of Johnston atoll, Central Pacific Ocean",Caryophyllales,Polygonaceae
Coccoloba uvifera (L.) L.,Kiritimati,I,"Thaman, R.R., & Tye, A. (2015) Flora of Kiritimati (Christmas) Atoll, Northern Line Islands, Republic of Kiribati",Caryophyllales,Polygonaceae
Coccoloba uvifera (L.) L.,Kure,I,"Starr, F., Martz, K., & Loope, L. (2001) Botanical inventory of Kure Atoll",Caryophyllales,Polygonaceae
Coccoloba uvifera (L.) L.,Kwajalein,I,"Fosberg, F.R. (1955) Northern Marshall Islands Expedition, 1951-1952 - land biota: vascular plants",Caryophyllales,Polygonaceae
Coccoloba uvifera (L.) L.,Laysan,I,"Ely, C.A., & Clapp, R.B. (1973) The natural history of Laysan Island, Northwestern Hawaiian Islands",Caryophyllales,Polygonaceae
Coccoloba uvifera (L.) L.,Midway,I,"Starr, F., Starr, K., & Loope, L. (2006) Annotated checklist of the vascular plants on Midway Atoll, Hawaii",Caryophyllales,Polygonaceae
Coccoloba uvifera (L.) L.,Moruroa,I,"Meyer, J.-Y. (2007) Rapport de mission a Moruroa du 30 Janvier au 02 Fevrier 2007 - mise au point de méthodes de lutte contre le 'aito (Casuarina equisetifolia)",Caryophyllales,Polygonaceae
Coccoloba uvifera (L.) L.,Nikumaroro,I,"Fosberg, F.R., & Stoddart, D.R. (1994) Flora of the Phoenix Islands, Central Pacific",Caryophyllales,Polygonaceae
Coccoloba uvifera (L.) L.,Orona,I,"Fosberg, F.R., & Stoddart, D.R. (1994) Flora of the Phoenix Islands, Central Pacific",Caryophyllales,Polygonaceae
Coccoloba uvifera (L.) L.,Palmyra,I,"Wester, L. (1985) Checklist of the vascular flora of the Northern Line Islands",Caryophyllales,Polygonaceae
Coccoloba uvifera (L.) L.,Rangiroa,I,"Stoddart, D.R., & Sachet, M.-H. (1969) Reconnaissane geomorphology of Rangiroa Atoll, Tuamotu Archipelago with list of vascular flora of Rangiroa",Caryophyllales,Polygonaceae
Coccoloba uvifera (L.) L.,Raroia,I,"Doty, M.S., et al. (1954) Floristics and plant ecology of Raroia Atoll, Tuamotus",Caryophyllales,Polygonaceae
Coccoloba uvifera (L.) L.,Reitoru,I,"Fontaine, B., et al. (2021) Mission Kivi Kuaka 2021 Rapport naturaliste",Caryophyllales,Polygonaceae
Coccoloba uvifera (L.) L.,Tabiteuea,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Caryophyllales,Polygonaceae
Coccoloba uvifera (L.) L.,Takapoto,I,"Sachet, M.-H. (1983) Takapoto atoll, Tuamotu Archipelago: terrestrial vegetation and flora",Caryophyllales,Polygonaceae
Coccoloba uvifera (L.) L.,Tupai,I,"Sachet, M.-H. (1983) Botanique de l'ile de Tupai, Îles de la Societe",Caryophyllales,Polygonaceae
Coccoloba uvifera (L.) L.,Wake,I,"Fosberg, F.R. (1959) Vegetation and flora of Wake atoll",Caryophyllales,Polygonaceae
"Persicaria dichotoma (Blume) S.K.Dixit, Datt & G.P.Roy",Tikehau,I,"Florence, J. (1985) Contribution à l'étude d'latoll de Tikehau - Introduction a la flore et a la vegetation",Caryophyllales,Polygonaceae
Persicaria kawagoeana (Makino) Nakai,Losap,I,"Manner, H.I., & Sana, D. (1995) The vascular plants of Losap Atoll",Caryophyllales,Polygonaceae
Persicaria kawagoeana (Makino) Nakai,Lukunor,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Caryophyllales,Polygonaceae
Persicaria kawagoeana (Makino) Nakai,Namoluk,I,"Marshall, M., & Fosberg, F.R. (1975) The natural history of Namoluk Atoll, Eastern Caroline Islands with identification of vascular flora",Caryophyllales,Polygonaceae
Persicaria kawagoeana (Makino) Nakai,Namonuito,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Caryophyllales,Polygonaceae
Persicaria kawagoeana (Makino) Nakai,Puluwat,I,"Manner, H.I., Mallon, E. (1989) An annotated list of the vascular plants of Puluwat atoll",Caryophyllales,Polygonaceae
Persicaria kawagoeana (Makino) Nakai,Satawan,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Caryophyllales,Polygonaceae
Portulaca grandiflora Hook.,Puluwat,I,"Manner, H.I., Mallon, E. (1989) An annotated list of the vascular plants of Puluwat atoll",Caryophyllales,Portulacaceae
Portulaca grandiflora Hook.,Vaitupu,I,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Caryophyllales,Portulacaceae
Portulaca granulatostellulata (Poelln.) Ricceri & Arrigoni,Europa,N,"Boullet, V., Hivert, J., & Gigord, L.D.B. (2018) An updated account of the vascular flora of the Iles Eparses (Southwest Indian Ocean)",Caryophyllales,Portulacaceae
Portulaca granulatostellulata (Poelln.) Ricceri & Arrigoni,Glorioso,N,"Boullet, V., Hivert, J., & Gigord, L.D.B. (2018) An updated account of the vascular flora of the Iles Eparses (Southwest Indian Ocean)",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Abariringa,N,"Degener, O., & Gillaspy, E. (1955) Canton Island, South Pacific",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Ailinginae,N,"Releford, J.S., et al. (2009) Flora of Rongelap and Ailinginae Atolls, Republic of the Marshall Islands",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Ailuk,N,"Fosberg, F.R. (1990) A review of the natural history of the Marshall Islands",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Anaa,N,"Butaud, F.-J., & Jacq, F.A. (2014) Guide floristique - atolls soulevés des Tuamotu (Polynésie francaise)",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Aratika,N,"Jacq F. & Lagouy E., (2010) Carte de la végétation de l’atoll de Aratika, commune de Fakarava, Archipel des Tuamotu",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Arno,N,"Anderson, D. (1951) The plants of Arno Atoll, Marshall Islands",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Atafu,N,"Whistler, A. (2012) The flora and vegetation of Tokelau",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Bikar,N,"Fosberg, F.R. (1955) Northern Marshall Islands Expedition, 1951-1952 - land biota: vascular plants",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Bikini,N,"Fosberg, F.R. (1988) Vegetation of Bikini Atoll, 1985",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Birnie,N,"Fosberg, F.R., & Stoddart, D.R. (1994) Flora of the Phoenix Islands, Central Pacific",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Bokaak,N,"Fosberg, F.R. (1955) Northern Marshall Islands Expedition, 1951-1952 - land biota: vascular plants",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Butaritari,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1979) A geographical Checklist of the Micronesian Dicotyledonae",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Caroline,N,"Clapp, R.B., & Sibley, F.C. (1971) Notes on the vascular flora and terrestrial vertebrates of Caroline Atoll, Northern Line Islands",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Chesterfield,N,"Cohic, F. (1959) Report on a visit to the Chesterfield Islands, September 1957",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Enderbury,N,"Fosberg, F.R., & Stoddart, D.R. (1994) Flora of the Phoenix Islands, Central Pacific",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Eniwetok,N,"St. John, H. (1960) Flora of Eniwetok Atoll",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,French Frigate Shoals,N,"Amerson, A.B. (1971) The natural history of French Frigate Shoals, Northwestern Hawaiian Islands",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Funafuti,N,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Haraiki,N,"Fontaine, B., et al. (2021) Mission Kivi Kuaka 2021 Rapport naturaliste",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Kiritimati,N,"Wester, L. (1985) Checklist of the vascular flora of the Northern Line Islands",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Laysan,N,"Ely, C.A., & Clapp, R.B. (1973) The natural history of Laysan Island, Northwestern Hawaiian Islands",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Likiep,N,"Fosberg, F.R. (1990) A review of the natural history of the Marshall Islands",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Malden,N,"Pierce, R., et al. (2015) Malden Island, Kiribati - feasibility of cat eradication for the recovery of seabirds",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Manra,N,"Fosberg, F.R., & Stoddart, D.R. (1994) Flora of the Phoenix Islands, Central Pacific",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Matureivavao,N,"Jacq F.A., (2012) Inventaires naturalistes et carte de la végétation de l'atoll de Vahanga",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Maupihaa,N,"Sachet, M.-H. (1983) Natural history of Mopelia Atoll, Society Islands",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,McKean,N,"Fosberg, F.R., & Stoddart, D.R. (1994) Flora of the Phoenix Islands, Central Pacific",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Midway,N,"Starr, F., Starr, K., & Loope, L. (2006) Annotated checklist of the vascular plants on Midway Atoll, Hawaii",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Morane,N,"Meyer, J.-Y.H., & Poncet, R. (2022) La végétation, la flore et les lichens de l'atoll de Morane (Tuamotu-Gambier), un écosystème insulaire encore intact",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Niau,N,"Butaud, F.-J., & Jacq, F.A. (2014) Guide floristique - atolls soulevés des Tuamotu (Polynésie francaise)",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Nikumaroro,N,"Fosberg, F.R., & Stoddart, D.R. (1994) Flora of the Phoenix Islands, Central Pacific",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Niutao,N,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Nui,N,"Woodroffe, C.D. (1985) Vegetation and flora of Nui Atoll, Tuvalu",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Nukulaelae,N,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Caryophyllales,Portulacaceae
Portulaca lutea So I. ex Seem.,Nukutepipi,N,"Salvat, F., & Salvat, B. (1992) Nukutipipi atoll, Tuamotu Archipelago - geomorphology, land and marine flora and fauna and interrelationships",Caryophyllales,Portulacaceae
